id,last_scraped,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,host_is_superhost,instant_bookable,number_of_reviews,review_scores_rating,availability_365,calculated_host_listings_count
989970247111015350,2023-12-13,Sunset,49.23147,-123.10297,Entire home/apt,4,1.5 baths,2,$177.00,1,FALSE,TRUE,2,5,270,2
989989910237386740,2023-12-14,Downtown,49.278734,-123.1073922,Entire home/apt,4,2 baths,2,$135.00,2,FALSE,FALSE,12,4.92,192,16
990136590089629956,2023-12-14,Downtown,49.2781,-123.10846,Entire home/apt,4,2 baths,2,NA,1,FALSE,FALSE,0,NA,73,1
990160193463660920,2023-12-13,Grandview-Woodland,49.2718818,-123.060595,Entire home/apt,4,1 bath,3,$117.00,1,FALSE,FALSE,3,4.67,112,1
990408754255725542,2023-12-14,Downtown,49.28057724918963,-123.10611339756385,Entire home/apt,4,1 bath,2,$124.00,1,FALSE,FALSE,5,4.67,0,43
990841537567005754,2023-12-14,Oakridge,49.23042881799557,-123.11590996190168,Entire home/apt,15,7 baths,9,$744.00,1,FALSE,FALSE,0,NA,248,8
990864059606499791,2023-12-13,Riley Park,49.25135644288871,-123.09213523505566,Private room,1,1.5 baths,1,$50.00,3,FALSE,FALSE,0,NA,269,4
990944805721089395,2023-12-13,Kitsilano,49.27003034659332,-123.14965054748777,Entire home/apt,3,1 bath,1,$141.00,1,FALSE,FALSE,19,4.63,193,1
991347220342345386,2023-12-13,Victoria-Fraserview,49.23089,-123.07001,Entire home/apt,5,1 bath,2,$123.00,2,FALSE,FALSE,8,4.88,47,1
991411611683715753,2023-12-14,Marpole,49.21396545605945,-123.12508543189723,Entire home/apt,6,2.5 baths,3,$373.00,2,FALSE,FALSE,0,NA,88,1
991527221629416699,2023-12-13,Arbutus Ridge,49.25728074074321,-123.17441697976228,Private room,2,1 private bath,1,$129.00,1,FALSE,FALSE,0,NA,179,1
991534648954293311,2023-12-13,West Point Grey,49.27048,-123.20865,Entire home/apt,8,5.5 baths,5,$734.00,30,TRUE,FALSE,2,5,248,2
991928007451275888,2023-12-14,Downtown,49.27848030000001,-123.1149438,Entire home/apt,3,1 bath,2,$125.00,30,TRUE,FALSE,0,NA,254,11
991997619724355059,2023-12-14,Downtown,49.274813901994,-123.10969645653503,Entire home/apt,10,5 baths,5,$800.00,1,FALSE,FALSE,1,4,176,1
